region_origin,vehicle_brand,vehicle_model,average_driver_age,primary_use,risk_score,owner_demographic
Japanese,Toyota,Corolla,31,off-road,0.91,young_adult
Japanese,Toyota,Yaris,27,off-road,0.29,young_adult
Japanese,Toyota,Hilux,45,business,0.81,senior
Japanese,Toyota,Camry,42,off-road,0.27,mixed
Japanese,Toyota,Rav4,56,delivery,0.97,young_adult
Japanese,Nissan,Sentra,36,commuting,0.9,young_adult
Japanese,Nissan,Altima,58,family,0.37,middle_aged
Japanese,Nissan,Pathfinder,47,business,0.15,senior
Korean,Hyundai,Tucson,28,family,0.47,young_adult
Korean,Hyundai,Elantra,28,business,0.74,middle_aged
Korean,Kia,Sorento,48,delivery,0.37,senior
Korean,Kia,Sportage,52,commuting,0.16,senior
American,Ford,Explorer,51,off-road,0.29,senior
American,Ford,F-150,50,commuting,0.94,young_adult
American,Ford,Ranger,43,family,0.65,young_adult
American,Ford,Fusion,31,business,0.47,young_adult
American,Chevrolet,Cruze,58,family,0.88,young_adult
American,Chevrolet,Tahoe,47,business,0.5,middle_aged
American,Chevrolet,Malibu,31,off-road,0.3,middle_aged
American,Chevrolet,Trailblazer,51,family,0.85,senior
American,Dodge,Charger,54,off-road,0.88,middle_aged
American,Tesla,Model S,55,delivery,0.42,young_adult
Japanese,Honda,Civic,51,commuting,0.88,mixed
Japanese,Honda,Accord,56,off-road,0.71,middle_aged
Japanese,Mazda,CX-5,47,business,0.86,middle_aged
German,Volkswagen,Jetta,58,delivery,0.19,senior
Japanese,Subaru,Forester,59,business,0.37,senior
Japanese,Subaru,Impreza,58,business,0.52,middle_aged
German,BMW,X5,59,family,0.7,mixed
American,Jeep,Wrangler,41,family,0.26,middle_aged
